,Package,Sub_package,Prop_type,Difficulty_level,Holiday Package
114,therapy,herbal steam bath,camp,beginner,therapy_package_13
115,therapy,trataka,camp,beginner,therapy_package_14
116,therapy,laghu shanka prathalan,camp,beginner,therapy_package_15
117,therapy,calming rose quartz,camp,beginner,therapy_package_16
118,therapy,herbal mud plaster,camp,beginner,therapy_package_17
119,therapy,herbal detox bath,camp,beginner,therapy_package_18
120,therapy,herbal detox mud therapy,camp,beginner,therapy_package_19
121,therapy,vedic meditation,camp,beginner,therapy_package_20
122,therapy,vedic satkriya,camp,beginner,therapy_package_21
123,therapy,yogic satkriya,camp,beginner,therapy_package_22
124,therapy,sarvanga lepa,camp,beginner,therapy_package_23
125,therapy,aroma hot mud plaster,camp,beginner,therapy_package_24
126,therapy,energising scrub,camp,beginner,therapy_package_25
127,therapy,vedic healing,camp,beginner,therapy_package_26
128,therapy,pranayama,camp,beginner,therapy_package_27
129,therapy,prayer,camp,beginner,therapy_package_28
130,therapy,fire ceremony (havan),camp,beginner,therapy_package_29
131,therapy,silence (mauna),camp,beginner,therapy_package_30
132,therapy,chill plunge pool,camp,beginner,therapy_package_31
133,facials,vishuddha harmonizing,camp,beginner,facials_package_1
134,facials,skin freshner,camp,beginner,facials_package_2
135,facials,honey and rose,camp,beginner,facials_package_3
136,facials,rose quartz,camp,beginner,facials_package_4
137,facials,royal facial with eye rejuvenation,camp,beginner,facials_package_5
138,adventure,kayaking,camp,beginner,adventure_package_1
139,adventure,hiking,camp,beginner,adventure_package_2
140,adventure,treking,camp,beginner,adventure_package_3
141,adventure,sailing,camp,beginner,adventure_package_4
142,adventure,diving,camp,beginner,adventure_package_5
143,adventure,cycling,camp,beginner,adventure_package_6
144,adventure,surfing,camp,beginner,adventure_package_7
145,adventure,horse riding,camp,beginner,adventure_package_8
146,adventure,skiing,camp,beginner,adventure_package_9
147,adventure,running,camp,beginner,adventure_package_10
148,adventure,river rafting,camp,beginner,adventure_package_11
149,adventure,waling,camp,beginner,adventure_package_12
150,adventure,wild life safari,camp,beginner,adventure_package_13
151,local,language course,camp,beginner,local_package_1
152,local,kitesurfing,camp,beginner,local_package_2
153,local,astrology,camp,beginner,local_package_3
154,local,photography,camp,beginner,local_package_4
155,local,painting,camp,beginner,local_package_5
156,local,dancing,camp,beginner,local_package_6
157,local,life coaching,camp,beginner,local_package_7
158,local,festivals,camp,beginner,local_package_8
159,local,sightseeing,camp,beginner,local_package_9
160,local,nature walk,camp,beginner,local_package_10
161,local,bird watching,camp,beginner,local_package_11
162,local,art,camp,beginner,local_package_12
163,local,pottery,camp,beginner,local_package_13
164,local,mehandi,camp,beginner,local_package_14
165,local,ganges arati,camp,beginner,local_package_15
166,local,cooking,camp,beginner,local_package_16
167,yoga,hatha,resorts,beginner,yoga_package_27
168,yoga,vinyasa,resorts,beginner,yoga_package_28
169,yoga,ashtanga,resorts,beginner,yoga_package_29
170,yoga,anusara,resorts,beginner,yoga_package_30
171,yoga,bikram,resorts,beginner,yoga_package_31
172,yoga,kundalini,resorts,beginner,yoga_package_32
173,yoga,nada,resorts,beginner,yoga_package_33
174,yoga,yin yang,resorts,beginner,yoga_package_34
175,yoga,chakra,resorts,beginner,yoga_package_35
176,yoga,siddhi,resorts,beginner,yoga_package_36
177,yoga,purna,resorts,beginner,yoga_package_37
178,yoga,raja,resorts,beginner,yoga_package_38
179,yoga,maha,resorts,beginner,yoga_package_39
180,yoga,char,resorts,beginner,yoga_package_40
181,yoga,bhakti,resorts,beginner,yoga_package_41
182,yoga,kriya,resorts,beginner,yoga_package_42
183,yoga,power,resorts,beginner,yoga_package_43
184,yoga,vipasana,resorts,beginner,yoga_package_44
185,yoga,pregnent,resorts,beginner,yoga_package_45
186,yoga,prenatal,resorts,beginner,yoga_package_46
187,yoga,pranyama,resorts,beginner,yoga_package_47
188,yoga,yin,resorts,beginner,yoga_package_48
189,yoga,restorative,resorts,beginner,yoga_package_49
190,yoga,nidra,resorts,beginner,yoga_package_50
191,yoga,flow,resorts,beginner,yoga_package_51
192,yoga,teacher training,resorts,beginner,yoga_package_52
193,massage,relaxation therapeutic,resorts,beginner,massage_package_22
194,massage,ayurveda de stress,resorts,beginner,massage_package_23
195,massage,rejuvenation therapeautic,resorts,beginner,massage_package_24
196,massage,salt glow,resorts,beginner,massage_package_25
197,massage,deep tissue,resorts,beginner,massage_package_26
198,massage,manipuri,resorts,beginner,massage_package_27
199,massage,grounding aromatherapy,resorts,beginner,massage_package_28
200,massage,thai,resorts,beginner,massage_package_29
201,massage,indian head,resorts,beginner,massage_package_30
202,massage,active,resorts,beginner,massage_package_31
203,massage,sports recovery,resorts,beginner,massage_package_32
204,massage,swedish,resorts,beginner,massage_package_33
205,massage,earth stone,resorts,beginner,massage_package_34
206,massage,kundilini back,resorts,beginner,massage_package_35
207,massage,anti aging aroma,resorts,beginner,massage_package_36
208,massage,detoxifying ayurvedic,resorts,beginner,massage_package_37
209,massage,reflexology,resorts,beginner,massage_package_38
210,massage,rejuvenation aroma,resorts,beginner,massage_package_39
211,massage,healing scrub,resorts,beginner,massage_package_40
212,massage,tonic vibro,resorts,beginner,massage_package_41
213,massage,merma,resorts,beginner,massage_package_42
214,meditation,loving-kindness meditation,resorts,beginner,meditation_package_9
215,meditation,body scan or progressive relaxation,resorts,beginner,meditation_package_10
216,meditation,mindfulness meditation,resorts,beginner,meditation_package_11
217,meditation,breath awareness meditation,resorts,beginner,meditation_package_12
218,meditation,kundalini yoga,resorts,beginner,meditation_package_13
219,meditation,zen meditation,resorts,beginner,meditation_package_14
220,meditation,transcendental meditation,resorts,beginner,meditation_package_15
221,meditation,focussed attention meditation,resorts,beginner,meditation_package_16
222,naturopathy,mud pack,resorts,beginner,naturopathy_package_18
223,naturopathy,hydrotherapy,resorts,beginner,naturopathy_package_19
224,naturopathy,hip bath,resorts,beginner,naturopathy_package_20
225,naturopathy,spinal bath,resorts,beginner,naturopathy_package_21
226,naturopathy,jet spray,resorts,beginner,naturopathy_package_22
227,naturopathy,jacuzzi,resorts,beginner,naturopathy_package_23
228,naturopathy,pranayama,resorts,beginner,naturopathy_package_24
229,naturopathy,sunbath,resorts,beginner,naturopathy_package_25
230,naturopathy,fasting,resorts,beginner,naturopathy_package_26
231,naturopathy,aromatic hydrotherapy,resorts,beginner,naturopathy_package_27
232,naturopathy,stimulating jet blitz showers,resorts,beginner,naturopathy_package_28
233,naturopathy,jal neti,resorts,beginner,naturopathy_package_29
234,naturopathy,kunjal kriya,resorts,beginner,naturopathy_package_30
235,naturopathy,message therapy,resorts,beginner,naturopathy_package_31
236,naturopathy,chromo therapy,resorts,beginner,naturopathy_package_32
237,naturopathy,diet therapy,resorts,beginner,naturopathy_package_33
238,naturopathy,sauna,resorts,beginner,naturopathy_package_34
239,ayurvedic,abhyanga,resorts,beginner,ayurvedic_package_31
240,ayurvedic,takradhara,resorts,beginner,ayurvedic_package_32
241,ayurvedic,narangakizi,resorts,beginner,ayurvedic_package_33
242,ayurvedic,sirodhara,resorts,beginner,ayurvedic_package_34
243,ayurvedic,pizichil,resorts,beginner,ayurvedic_package_35
244,ayurvedic,mukh lepa,resorts,beginner,ayurvedic_package_36
245,ayurvedic,tan lepa,resorts,beginner,ayurvedic_package_37
246,ayurvedic,navarakizi,resorts,beginner,ayurvedic_package_38
247,ayurvedic,choorna swedana,resorts,beginner,ayurvedic_package_39
248,ayurvedic,janu vasti,resorts,beginner,ayurvedic_package_40
249,ayurvedic,udh warthana,resorts,beginner,ayurvedic_package_41
250,ayurvedic,lepam,resorts,beginner,ayurvedic_package_42
251,ayurvedic,nijavarakizi,resorts,beginner,ayurvedic_package_43
252,ayurvedic,kati vasti,resorts,beginner,ayurvedic_package_44
253,ayurvedic,thalapizhichil,resorts,beginner,ayurvedic_package_45
254,ayurvedic,siro vasthy,resorts,beginner,ayurvedic_package_46
255,ayurvedic,snehapanam,resorts,beginner,ayurvedic_package_47
256,ayurvedic,swedana karma,resorts,beginner,ayurvedic_package_48
257,ayurvedic,oil message,resorts,beginner,ayurvedic_package_49
258,ayurvedic,elakizi,resorts,beginner,ayurvedic_package_50
259,ayurvedic,polikizi,resorts,beginner,ayurvedic_package_51
260,ayurvedic,nasyam,resorts,beginner,ayurvedic_package_52
261,ayurvedic,virechanam,resorts,beginner,ayurvedic_package_53
262,ayurvedic,vasathy,resorts,beginner,ayurvedic_package_54
263,ayurvedic,tharpanam,resorts,beginner,ayurvedic_package_55
264,ayurvedic,vamana,resorts,beginner,ayurvedic_package_56
265,ayurvedic,rakthamoksham,resorts,beginner,ayurvedic_package_57
266,ayurvedic,snehana karma,resorts,beginner,ayurvedic_package_58
267,ayurvedic,lifestyle disorder ,resorts,beginner,ayurvedic_package_59
268,ayurvedic,herbology,resorts,beginner,ayurvedic_package_60
269,therapy,reiki,resorts,beginner,therapy_package_32
270,therapy,accupunture,resorts,beginner,therapy_package_33
271,therapy,aromatherapy,resorts,beginner,therapy_package_34
272,therapy,mantra chanting,resorts,beginner,therapy_package_35
273,therapy,eye rejuvenator,resorts,beginner,therapy_package_36
274,therapy,jasmine salt scrub,resorts,beginner,therapy_package_37
275,therapy,physiotherapy,resorts,beginner,therapy_package_38
276,therapy,reflexology,resorts,beginner,therapy_package_39
277,therapy,grounding salt scrub,resorts,beginner,therapy_package_40
278,therapy,grounding aroma cocoon,resorts,beginner,therapy_package_41
279,therapy,energising earth wrap detoxification,resorts,beginner,therapy_package_42
280,therapy,aroma cocoon,resorts,beginner,therapy_package_43
281,therapy,herbal steam bath,resorts,beginner,therapy_package_44
282,therapy,trataka,resorts,beginner,therapy_package_45
283,therapy,laghu shanka prathalan,resorts,beginner,therapy_package_46
284,therapy,calming rose quartz,resorts,beginner,therapy_package_47
285,therapy,herbal mud plaster,resorts,beginner,therapy_package_48
286,therapy,herbal detox bath,resorts,beginner,therapy_package_49
287,therapy,herbal detox mud therapy,resorts,beginner,therapy_package_50
288,therapy,vedic meditation,resorts,beginner,therapy_package_51
289,therapy,vedic satkriya,resorts,beginner,therapy_package_52
290,therapy,yogic satkriya,resorts,beginner,therapy_package_53
291,therapy,sarvanga lepa,resorts,beginner,therapy_package_54
292,therapy,aroma hot mud plaster,resorts,beginner,therapy_package_55
293,therapy,energising scrub,resorts,beginner,therapy_package_56
294,therapy,vedic healing,resorts,beginner,therapy_package_57
295,therapy,pranayama,resorts,beginner,therapy_package_58
296,therapy,prayer,resorts,beginner,therapy_package_59
297,therapy,fire ceremony (havan),resorts,beginner,therapy_package_60
298,therapy,silence (mauna),resorts,beginner,therapy_package_61
299,therapy,chill plunge pool,resorts,beginner,therapy_package_62
300,facials,vishuddha harmonizing,resorts,beginner,facials_package_6
301,facials,skin freshner,resorts,beginner,facials_package_7
302,facials,honey and rose,resorts,beginner,facials_package_8
303,facials,rose quartz,resorts,beginner,facials_package_9
304,facials,royal facial with eye rejuvenation,resorts,beginner,facials_package_10
305,adventure,kayaking,resorts,beginner,adventure_package_14
306,adventure,hiking,resorts,beginner,adventure_package_15
307,adventure,treking,resorts,beginner,adventure_package_16
308,adventure,sailing,resorts,beginner,adventure_package_17
309,adventure,diving,resorts,beginner,adventure_package_18
310,adventure,cycling,resorts,beginner,adventure_package_19
311,adventure,surfing,resorts,beginner,adventure_package_20
312,adventure,horse riding,resorts,beginner,adventure_package_21
313,adventure,skiing,resorts,beginner,adventure_package_22
314,adventure,running,resorts,beginner,adventure_package_23
315,adventure,river rafting,resorts,beginner,adventure_package_24
316,adventure,waling,resorts,beginner,adventure_package_25
317,adventure,wild life safari,resorts,beginner,adventure_package_26
318,local,language course,resorts,beginner,local_package_17
319,local,kitesurfing,resorts,beginner,local_package_18
320,local,astrology,resorts,beginner,local_package_19
321,local,photography,resorts,beginner,local_package_20
322,local,painting,resorts,beginner,local_package_21
323,local,dancing,resorts,beginner,local_package_22
324,local,life coaching,resorts,beginner,local_package_23
325,local,festivals,resorts,beginner,local_package_24
326,local,sightseeing,resorts,beginner,local_package_25
327,local,nature walk,resorts,beginner,local_package_26
328,local,bird watching,resorts,beginner,local_package_27
329,local,art,resorts,beginner,local_package_28
330,local,pottery,resorts,beginner,local_package_29
331,local,mehandi,resorts,beginner,local_package_30
332,local,ganges arati,resorts,beginner,local_package_31
333,local,cooking,resorts,beginner,local_package_32
334,yoga,hatha,retreat,beginner,yoga_package_53
335,yoga,vinyasa,retreat,beginner,yoga_package_54
336,yoga,ashtanga,retreat,beginner,yoga_package_55
337,yoga,anusara,retreat,beginner,yoga_package_56
338,yoga,bikram,retreat,beginner,yoga_package_57
339,yoga,kundalini,retreat,beginner,yoga_package_58
340,yoga,nada,retreat,beginner,yoga_package_59
341,yoga,yin yang,retreat,beginner,yoga_package_60
342,yoga,chakra,retreat,beginner,yoga_package_61
343,yoga,siddhi,retreat,beginner,yoga_package_62
344,yoga,purna,retreat,beginner,yoga_package_63
345,yoga,raja,retreat,beginner,yoga_package_64
346,yoga,maha,retreat,beginner,yoga_package_65
347,yoga,char,retreat,beginner,yoga_package_66
348,yoga,bhakti,retreat,beginner,yoga_package_67
349,yoga,kriya,retreat,beginner,yoga_package_68
350,yoga,power,retreat,beginner,yoga_package_69
351,yoga,vipasana,retreat,beginner,yoga_package_70
352,yoga,pregnent,retreat,beginner,yoga_package_71
353,yoga,prenatal,retreat,beginner,yoga_package_72
354,yoga,pranyama,retreat,beginner,yoga_package_73
355,yoga,yin,retreat,beginner,yoga_package_74
356,yoga,restorative,retreat,beginner,yoga_package_75
357,yoga,nidra,retreat,beginner,yoga_package_76
358,yoga,flow,retreat,beginner,yoga_package_77
359,yoga,teacher training,retreat,beginner,yoga_package_78
360,massage,relaxation therapeutic,retreat,beginner,massage_package_43
361,massage,ayurveda de stress,retreat,beginner,massage_package_44
362,massage,rejuvenation therapeautic,retreat,beginner,massage_package_45
363,massage,salt glow,retreat,beginner,massage_package_46
364,massage,deep tissue,retreat,beginner,massage_package_47
365,massage,manipuri,retreat,beginner,massage_package_48
366,massage,grounding aromatherapy,retreat,beginner,massage_package_49
367,massage,thai,retreat,beginner,massage_package_50
368,massage,indian head,retreat,beginner,massage_package_51
369,massage,active,retreat,beginner,massage_package_52
370,massage,sports recovery,retreat,beginner,massage_package_53
371,massage,swedish,retreat,beginner,massage_package_54
372,massage,earth stone,retreat,beginner,massage_package_55
373,massage,kundilini back,retreat,beginner,massage_package_56
374,massage,anti aging aroma,retreat,beginner,massage_package_57
375,massage,detoxifying ayurvedic,retreat,beginner,massage_package_58
376,massage,reflexology,retreat,beginner,massage_package_59
377,massage,rejuvenation aroma,retreat,beginner,massage_package_60
378,massage,healing scrub,retreat,beginner,massage_package_61
379,massage,tonic vibro,retreat,beginner,massage_package_62
380,massage,merma,retreat,beginner,massage_package_63
381,meditation,loving-kindness meditation,retreat,beginner,meditation_package_17
382,meditation,body scan or progressive relaxation,retreat,beginner,meditation_package_18
383,meditation,mindfulness meditation,retreat,beginner,meditation_package_19
384,meditation,breath awareness meditation,retreat,beginner,meditation_package_20
385,meditation,kundalini yoga,retreat,beginner,meditation_package_21
386,meditation,zen meditation,retreat,beginner,meditation_package_22
387,meditation,transcendental meditation,retreat,beginner,meditation_package_23
388,meditation,focussed attention meditation,retreat,beginner,meditation_package_24
389,naturopathy,mud pack,retreat,beginner,naturopathy_package_35
390,naturopathy,hydrotherapy,retreat,beginner,naturopathy_package_36
391,naturopathy,hip bath,retreat,beginner,naturopathy_package_37
392,naturopathy,spinal bath,retreat,beginner,naturopathy_package_38
393,naturopathy,jet spray,retreat,beginner,naturopathy_package_39
394,naturopathy,jacuzzi,retreat,beginner,naturopathy_package_40
395,naturopathy,pranayama,retreat,beginner,naturopathy_package_41
396,naturopathy,sunbath,retreat,beginner,naturopathy_package_42
397,naturopathy,fasting,retreat,beginner,naturopathy_package_43
398,naturopathy,aromatic hydrotherapy,retreat,beginner,naturopathy_package_44
399,naturopathy,stimulating jet blitz showers,retreat,beginner,naturopathy_package_45
400,naturopathy,jal neti,retreat,beginner,naturopathy_package_46
401,naturopathy,kunjal kriya,retreat,beginner,naturopathy_package_47
402,naturopathy,message therapy,retreat,beginner,naturopathy_package_48
403,naturopathy,chromo therapy,retreat,beginner,naturopathy_package_49
404,naturopathy,diet therapy,retreat,beginner,naturopathy_package_50
405,naturopathy,sauna,retreat,beginner,naturopathy_package_51
406,ayurvedic,abhyanga,retreat,beginner,ayurvedic_package_61
407,ayurvedic,takradhara,retreat,beginner,ayurvedic_package_62
408,ayurvedic,narangakizi,retreat,beginner,ayurvedic_package_63
409,ayurvedic,sirodhara,retreat,beginner,ayurvedic_package_64
410,ayurvedic,pizichil,retreat,beginner,ayurvedic_package_65
411,ayurvedic,mukh lepa,retreat,beginner,ayurvedic_package_66
412,ayurvedic,tan lepa,retreat,beginner,ayurvedic_package_67
413,ayurvedic,navarakizi,retreat,beginner,ayurvedic_package_68
414,ayurvedic,choorna swedana,retreat,beginner,ayurvedic_package_69
415,ayurvedic,janu vasti,retreat,beginner,ayurvedic_package_70
416,ayurvedic,udh warthana,retreat,beginner,ayurvedic_package_71
417,ayurvedic,lepam,retreat,beginner,ayurvedic_package_72
418,ayurvedic,nijavarakizi,retreat,beginner,ayurvedic_package_73
419,ayurvedic,kati vasti,retreat,beginner,ayurvedic_package_74
420,ayurvedic,thalapizhichil,retreat,beginner,ayurvedic_package_75
421,ayurvedic,siro vasthy,retreat,beginner,ayurvedic_package_76
422,ayurvedic,snehapanam,retreat,beginner,ayurvedic_package_77
423,ayurvedic,swedana karma,retreat,beginner,ayurvedic_package_78
424,ayurvedic,oil message,retreat,beginner,ayurvedic_package_79
425,ayurvedic,elakizi,retreat,beginner,ayurvedic_package_80
426,ayurvedic,polikizi,retreat,beginner,ayurvedic_package_81
427,ayurvedic,nasyam,retreat,beginner,ayurvedic_package_82
428,ayurvedic,virechanam,retreat,beginner,ayurvedic_package_83
429,ayurvedic,vasathy,retreat,beginner,ayurvedic_package_84
430,ayurvedic,tharpanam,retreat,beginner,ayurvedic_package_85
431,ayurvedic,vamana,retreat,beginner,ayurvedic_package_86
432,ayurvedic,rakthamoksham,retreat,beginner,ayurvedic_package_87
433,ayurvedic,snehana karma,retreat,beginner,ayurvedic_package_88
434,ayurvedic,lifestyle disorder ,retreat,beginner,ayurvedic_package_89
435,ayurvedic,herbology,retreat,beginner,ayurvedic_package_90
436,therapy,reiki,retreat,beginner,therapy_package_63
437,therapy,accupunture,retreat,beginner,therapy_package_64
438,therapy,aromatherapy,retreat,beginner,therapy_package_65
439,therapy,mantra chanting,retreat,beginner,therapy_package_66
440,therapy,eye rejuvenator,retreat,beginner,therapy_package_67
441,therapy,jasmine salt scrub,retreat,beginner,therapy_package_68
442,therapy,physiotherapy,retreat,beginner,therapy_package_69
443,therapy,reflexology,retreat,beginner,therapy_package_70
444,therapy,grounding salt scrub,retreat,beginner,therapy_package_71
445,therapy,grounding aroma cocoon,retreat,beginner,therapy_package_72
446,therapy,energising earth wrap detoxification,retreat,beginner,therapy_package_73
447,therapy,aroma cocoon,retreat,beginner,therapy_package_74
448,therapy,herbal steam bath,retreat,beginner,therapy_package_75
449,therapy,trataka,retreat,beginner,therapy_package_76
450,therapy,laghu shanka prathalan,retreat,beginner,therapy_package_77
451,therapy,calming rose quartz,retreat,beginner,therapy_package_78
452,therapy,herbal mud plaster,retreat,beginner,therapy_package_79
453,therapy,herbal detox bath,retreat,beginner,therapy_package_80
454,therapy,herbal detox mud therapy,retreat,beginner,therapy_package_81
455,therapy,vedic meditation,retreat,beginner,therapy_package_82
456,therapy,vedic satkriya,retreat,beginner,therapy_package_83
457,therapy,yogic satkriya,retreat,beginner,therapy_package_84
458,therapy,sarvanga lepa,retreat,beginner,therapy_package_85
459,therapy,aroma hot mud plaster,retreat,beginner,therapy_package_86
460,therapy,energising scrub,retreat,beginner,therapy_package_87
461,therapy,vedic healing,retreat,beginner,therapy_package_88
462,therapy,pranayama,retreat,beginner,therapy_package_89
463,therapy,prayer,retreat,beginner,therapy_package_90
464,therapy,fire ceremony (havan),retreat,beginner,therapy_package_91
465,therapy,silence (mauna),retreat,beginner,therapy_package_92
466,therapy,chill plunge pool,retreat,beginner,therapy_package_93
467,facials,vishuddha harmonizing,retreat,beginner,facials_package_11
468,facials,skin freshner,retreat,beginner,facials_package_12
469,facials,honey and rose,retreat,beginner,facials_package_13
470,facials,rose quartz,retreat,beginner,facials_package_14
471,facials,royal facial with eye rejuvenation,retreat,beginner,facials_package_15
472,adventure,kayaking,retreat,beginner,adventure_package_27
473,adventure,hiking,retreat,beginner,adventure_package_28
474,adventure,treking,retreat,beginner,adventure_package_29
475,adventure,sailing,retreat,beginner,adventure_package_30
476,adventure,diving,retreat,beginner,adventure_package_31
477,adventure,cycling,retreat,beginner,adventure_package_32
478,adventure,surfing,retreat,beginner,adventure_package_33
479,adventure,horse riding,retreat,beginner,adventure_package_34
480,adventure,skiing,retreat,beginner,adventure_package_35
481,adventure,running,retreat,beginner,adventure_package_36
482,adventure,river rafting,retreat,beginner,adventure_package_37
483,adventure,waling,retreat,beginner,adventure_package_38
484,adventure,wild life safari,retreat,beginner,adventure_package_39
